Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.7,14986274080,2546,5886203.5,3839456.0,128,15973440,5031209.1,cudaMemcpyAsync
6.7,1387957856,142431,9744.8,8992.0,4736,152704,3593.0,cuLaunchKernel
5.7,1170658272,2631,444948.0,170400.0,384,675959200,13175692.0,cudaFree
4.6,955954880,2437,392267.1,320832.0,1344,1393024,153578.4,cudaStreamSynchronize
3.8,793800928,2481,319952.0,232544.0,6976,17912800,601251.5,cudaMalloc
2.8,577196800,34644,16660.8,10368.0,5024,230752,15710.8,cudaLaunchKernel
1.2,249295552,805,309683.9,307584.0,209888,450016,29519.9,cudaMemcpy
0.8,164792608,804,204965.9,170512.0,136672,1034240,105868.7,cudaDeviceSynchronize
0.5,112937120,160,705857.0,523056.0,446304,1108096,261673.9,cudaExternalMemoryGetMappedBuffer_v10000
0.4,77559392,1609,48203.5,46240.0,37088,177152,8180.8,cudaMemcpy2DAsync
0.2,35131072,3216,10923.8,10304.0,4352,144352,7138.1,cudaEventRecord
0.2,34070848,4,8517712.0,8517904.0,8482208,8552832,30197.5,cudaMallocPitch
0.1,22622336,3216,7034.3,7328.0,1952,101536,3113.8,cudaEventQuery
0.1,21557344,36,598815.1,612336.0,117600,1165088,223821.9,cuModuleLoadData
0.1,11016512,1608,6851.1,4944.0,2304,77344,5945.8,cudaEventSynchronize
0.0,9711136,37,262463.1,268896.0,63520,1131808,168242.6,cuModuleLoadFatBinary
0.0,5148192,160,32176.2,29184.0,16768,496448,37256.8,cudaImportExternalMemory_v10000
0.0,5079968,244,20819.5,20048.0,7264,202656,14735.5,cudaCreateTextureObject
0.0,1283360,40,32084.0,14384.0,5856,724800,112506.1,cudaHostAlloc
0.0,1079040,14,77074.3,14592.0,7136,854688,224069.8,cudaStreamCreate
0.0,912704,776,1176.2,736.0,640,10752,1200.0,cudaEventCreateWithFlags
0.0,398592,112,3558.9,448.0,192,85856,13159.2,cudaMemsetAsync
0.0,210560,7,30080.0,23488.0,20064,64224,15593.6,cudaStreamCreateWithFlags
0.0,104704,374,280.0,192.0,128,4960,356.1,cuGetProcAddress
0.0,88928,8,11116.0,12864.0,5184,18784,5120.5,cudaImportExternalSemaphore_v10000
0.0,79552,8,9944.0,7456.0,5152,28192,7677.2,cudaDeviceGetNvSciSyncAttributes_v10020
0.0,31808,4,7952.0,7280.0,6752,10496,1718.2,cudaStreamDestroy
0.0,27936,8,3492.0,3312.0,2144,6016,1337.1,cudaEventCreate
0.0,5824,1,5824.0,5824.0,5824,5824,0.0,cuInit
